code_variable,name_variable,label_pergunta,tipo,is_dashboard,is_portal,is_average,is_percentage,is_absolute,label,categoria,subcategoria,modal
1.5.1.C,Qual o número de ônibus convencionais operacionais de piso baixo no município?,Qual o número de ônibus convencionais operacionais de piso baixo no município?,numeric,1,1,0,0,1,Ônibus (piso baixo),Frota,Ônibus,Ônibus
1.5.1.D,Qual o número de ônibus convencionais operacionais com plataforma elevatória no município?,Qual o número de ônibus convencionais operacionais com plataforma elevatória no município?,numeric,1,1,0,0,1,Ônibus (com plataforma),Frota,Ônibus,Ônibus
1.5.1.E,Qual a frota de veículos operacionais de ônibus articulado no município?,Qual a frota de veículos operacionais de ônibus articulado no município?,numeric,1,1,0,0,1,Frota de Ônibus Articulados,Frota,Ônibus,Ônibus
1.5.1.F,Qual a capacidade média de ônibus articulado operacionais no município?,Qual a capacidade média de ônibus articulado operacionais no município?,numeric,1,1,1,0,0,Ônibus Articulados (capacidade média),Frota,Ônibus,Ônibus
1.5.1.G,Qual o número de ônibus articulados operacionais de piso baixo?,Qual o número de ônibus articulados operacionais de piso baixo?,numeric,1,1,0,0,1,Ônibus Articulados (piso baixo),Frota,Ônibus,Ônibus
1.5.1.H,Qual o número de ônibus articulados operacionais com plataforma elevatória no município?,Qual o número de ônibus articulados operacionais com plataforma elevatória no município?,numeric,1,1,0,0,1,Ônibus Articulados (com plataforma),Frota,Ônibus,Ônibus
1.5.1.I,Qual a frota de veículos operacionais de ônibus biarticulado no município?,Qual a frota de veículos operacionais de ônibus biarticulado no município?,numeric,1,1,0,0,1,Frota de Ônibus Biarticulados,Frota,Ônibus,Ônibus
1.5.1.J,Qual a capacidade média de ônibus biarticulado operacionais no município?,Qual a capacidade média de ônibus biarticulado operacionais no município?,numeric,1,1,1,0,0,Ônibus Biarticulados (cap. média),Frota,Ônibus,Ônibus
1.5.1.K,Qual o número de ônibus biarticulados operacionais de piso baixo?,Qual o número de ônibus biarticulados operacionais de piso baixo?,numeric,1,1,0,0,1,Ônibus Biarticulados (piso baixo),Frota,Ônibus,Ônibus
1.5.1.L,Qual o número de ônibus biarticulados operacionais com plataforma elevatória no município?,Qual o número de ônibus biarticulados operacionais com plataforma elevatória no município?,numeric,1,1,0,0,1,Ônibus Biarticulados (com plataforma),Frota,Ônibus,Ônibus
1.5.1.M,Qual a frota de veículos operacionais de vans/microônibus no município?,Qual a frota de veículos operacionais de vans/microônibus no município?,numeric,1,1,0,0,1,Frota de Microônibus,Frota,Vans/Microônibus,Microônibus
1.5.1.N,Qual a capacidade média da frota de vans/microônibus operacionais no município?,Qual a capacidade média da frota de vans/microônibus operacionais no município?,numeric,1,1,1,0,0,Microônibus (capacidade média),Frota,Vans/Microônibus,Microônibus
1.5.1.O,Qual a frota de veículos operacionais de táxi no município?,Qual a frota de veículos operacionais de táxi no município?,numeric,1,1,0,0,1,Frota de Táxis,Frota,Táxi,Táxi
1.5.1.P,Qual a frota de veículos operacionais de mototáxi no município?,Qual a frota de veículos operacionais de mototáxi no município?,numeric,1,1,0,0,1,Frota de Mototáxis,Frota,Mototáxi,Mototáxi
1.5.1.Q,Qual a frota de veículos operacionais de metrô (composição) no município?,Qual a frota de veículos operacionais de metrô (composição) no município?,numeric,1,1,0,0,1,Frota (composição) de Metrôs,Frota,Metrô,Metrô
1.5.1.R,Qual a capacidade média de um veículo de metrô (composição) no município?,Qual a capacidade média de um veículo de metrô (composição) no município?,numeric,1,1,1,0,0,Metrô (capacidade média),Frota,Metrô,Metrô
1.5.1.S,Qual a frota de veículos operacionais de trem (composição) no município?,Qual a frota de veículos operacionais de trem (composição) no município?,numeric,1,1,0,0,1,Frota de Trens,Frota,Trem,Trem
1.5.1.T,Qual a capacidade média de um veículo de trem (composição) no município?,Qual a capacidade média de um veículo de trem (composição) no município?,numeric,1,1,1,0,0,Trem (capacidade média),Frota,Trem,Trem
1.5.1.U,Qual a frota de barcos operacionais no município?,Qual a frota de barcos operacionais no município?,numeric,1,1,0,0,1,Frota de Barcos,Frota,Barco,Barco
1.5.1.V,Qual a capacidade média da frota de barco no município?,Qual a capacidade média da frota de barco no município?,numeric,1,1,1,0,0,Barcos (capacidade média),Frota,Barco,Barco
1.5.1.W,Qual a frota de veículos operacionais de VLT (composição) no município?,Qual a frota de veículos operacionais de VLT (composição) no município?,numeric,1,1,0,0,1,Frota (composição) de VLTs,Frota,VLT,VLT
1.5.1.X,Qual a capacidade média de um veículo de VLT (composição) no município?,Qual a capacidade média de um veículo de VLT (composição) no município?,numeric,1,1,1,0,0,VLT (capacidade média),Frota,VLT,VLT
1.5.1.Y,Qual a frota de veículos operacionais de monotrilho (composição) no município?,Qual a frota de veículos operacionais de monotrilho (composição) no município?,numeric,1,1,0,0,1,Frota (composição) de Monotrilhos,Frota,Monotrilho,Monotrilho
1.5.1.Z,Qual a capacidade média de um veículo de monotrilho (composição) no município?,Qual a capacidade média de um veículo de monotrilho (composição) no município?,numeric,1,1,1,0,0,Monotrilho (capacidade média),Frota,Monotrilho,Monotrilho
1.5.1.AA,Qual a frota de veículos operacionais de aeromóvel (composição) no município?,Qual a frota de veículos operacionais de aeromóvel (composição) no município?,numeric,1,1,0,0,1,Frota (composição) de Aeromóvel,Frota,Aeromóvel,Aeromóvel
1.5.1.AB,Qual a capacidade média de um aeromóvel no município?,Qual a capacidade média de um aeromóvel no município?,numeric,1,1,1,0,0,Aeromóvel (capacidade média),Frota,Aeromóvel,Aeromóvel
1.5.1.AC,Qual a frota de bicicletas compartilhadas operacionais no município?,Qual a frota de bicicletas compartilhadas operacionais no município?,numeric,1,1,0,0,1,Frota de Bicicletas Compartilhadas,Frota,Bicicleta,Bicicleta
1.5.2.A,Qual a frota de veículos para fretamento para transporte de passageiro no município?,Qual a frota de veículos para fretamento para transporte de passageiro no município?,numeric,1,1,0,0,1,Frota de Veículos Fretados para Passageiros,Frota,Ônibus,Fretamento
1.5.2.B,Qual a frota de veículos para transporte escolar no município?,Qual a frota de veículos para transporte escolar no município?,numeric,1,1,0,0,1,Frota de Veículos Escolares,Frota,Ônibus,Escolar
1.6.1.A,Qual a quilometragem de vias dedicadas onde apenas pedestres podem circular (permanente)?,Qual a quilometragem de vias dedicadas onde apenas pedestres podem circular (permanente)?,numeric,0,1,0,0,1,Extensão de Vias Exclusivas para Pedestres,Infraestrutura,Pedestres,Pedestres
1.6.1.B,Qual a quilometragem de vias dedicadas onde apenas pedestres podem circular (temporária)?,Qual a quilometragem de vias dedicadas onde apenas pedestres podem circular (temporária)?,numeric,0,1,0,0,1,Extensão de Vias Exclusivas Temporárias para Pedestres,Infraestrutura,Pedestres,Pedestres
1.6.1.C,Qual a quilometragem de calçadas no município (parte da via reservada ao trânsito de pedestres)?,Qual a quilometragem de calçadas no município (parte da via reservada ao trânsito de pedestres)?,numeric,0,1,0,0,1,Extensão de Calçadas para Pedestres,Infraestrutura,Pedestres,Pedestres
1.6.1.D,Qual a quilometragem de vias dedicadas exclusivas para BRTs no município?,Qual a quilometragem de vias dedicadas exclusivas para BRTs no município?,numeric,0,1,0,0,1,Extensão de Vias Exclusivas para BRT,Frota,Ônibus,Ônibus
1.6.1.E,Qual a quilometragem de vias dedicadas exclusivamente a corredores de ônibus no município?,Qual a quilometragem de vias dedicadas exclusivamente a corredores de ônibus no município?,numeric,0,1,0,0,1,Extensão de Corredores Exclusivos de Ônibus,Frota,Ônibus,Ônibus
1.6.1.F,Qual a quilometragem de vias dedicadas a faixas exclusivas no município?,Qual a quilometragem de vias dedicadas a faixas exclusivas no município?,numeric,0,1,0,0,1,Extensão de Faixas Exclusivas,Frota,Ônibus,Ônibus
1.6.1.G,Qual a quilometragem de vias dedicadas exclusivamente a ciclovias no município?,Qual a quilometragem de vias dedicadas exclusivamente a ciclovias no município?,numeric,0,1,0,0,1,Extensão de Ciclovias Exclusivas,Frota,Bicicleta,Bicicleta
1.6.1.H,Qual a quilometragem de vias dedicadas exclusivamente a ciclofaixas no município?,Qual a quilometragem de vias dedicadas exclusivamente a ciclofaixas no município?,numeric,0,1,0,0,1,Extensão de Ciclofaixas Exclusivas,Frota,Bicicleta,Bicicleta
1.6.1.I,Qual a quilometragem de vias dedicadas exclusivamente a metrô no município?,Qual a quilometragem de vias dedicadas exclusivamente a metrô no município?,numeric,0,1,0,0,1,Extensão da malha (metrô),Infraestrutura,Metrô,Metrô
1.6.1.J,Qual a quilometragem de vias dedicadas exclusivamente a trem no município?,Qual a quilometragem de vias dedicadas exclusivamente a trem no município?,numeric,0,1,0,0,1,Extensão da malha (trem),Infraestrutura,Trem,Trem
1.6.1.K,Qual a quilometragem de vias dedicadas exclusivamente a VLT no município?,Qual a quilometragem de vias dedicadas exclusivamente a VLT no município?,numeric,0,1,0,0,1,Extensão da malha (VLT),Infraestrutura,VLT,VLT
1.6.1.L,Qual a quilometragem de vias dedicadas exclusivamente a monotrilho no município?,Qual a quilometragem de vias dedicadas exclusivamente a monotrilho no município?,numeric,0,1,0,0,1,Extensão da malha (monotrilho),Infraestrutura,Monotrilho,Monotrilho
1.6.1.M,Qual a quilometragem de vias dedicadas exclusivamente a aeromóvel no município?,Qual a quilometragem de vias dedicadas exclusivamente a aeromóvel no município?,numeric,0,1,0,0,1,Extensão da malha (aeromóvel),Infraestrutura,Aeromóvel,Aeromóvel
1.7.1.A,Qual a quilometragem percorrida no ano de 2023 pela frota de ônibus do município?,Qual a quilometragem percorrida no ano pela frota de ônibus do município?,numeric,1,1,0,0,1,Quilômetros Percorridos (Ônibus),Frota,Ônibus,Ônibus
1.7.1.B,Qual a quilometragem percorrida no ano de 2023 pela frota de vans/microônibus do município?,Qual a quilometragem percorrida no ano pela frota de vans/microônibus do município?,numeric,1,1,0,0,1,Quilômetros Percorridos (Microônibus),Frota,Vans/Microônibus,Microônibus
1.7.1.C,Qual a quilometragem percorrida no ano de 2023 pela frota de metrô do município?,Qual a quilometragem percorrida no ano pela frota de metrô do município?,numeric,1,1,0,0,1,Quilômetros Percorridos (Metrô),Frota,Metrô,Metrô
1.7.1.D,Qual a quilometragem percorrida no ano de 2023 pela frota de trem do município?,Qual a quilometragem percorrida no ano pela frota de trem do município?,numeric,1,1,0,0,1,Quilômetros Percorridos (Trem),Frota,Trem,Trem
1.7.1.E,Qual a quilometragem percorrida no ano de 2023 pela frota de barco/catamarã do município?,Qual a quilometragem percorrida no ano pela frota de barco/catamarã do município?,numeric,1,1,0,0,1,Quilômetros Percorridos (Barco),Frota,Barco,Barco
1.7.1.F,Qual a quilometragem percorrida no ano de 2023 pela frota de VLT do município?,Qual a quilometragem percorrida no ano pela frota de VLT do município?,numeric,1,1,0,0,1,Quilômetros Percorridos (VLT),Frota,VLT,VLT
1.7.1.G,Qual a quilometragem percorrida no ano de 2023 pela frota de monotrilho do município?,Qual a quilometragem percorrida no ano pela frota de monotrilho do município?,numeric,1,1,0,0,1,Quilômetros Percorridos (Monotrilho),Frota,Monotrilho,Monotrilho
1.7.1.H,Qual a quilometragem percorrida no ano de 2023 pela frota de aeromóvel do município?,Qual a quilometragem percorrida no ano pela frota de aeromóvel do município?,numeric,1,1,0,0,1,Quilômetros Percorridos (Aeromóvel),Frota,Aeromóvel,Aeromóvel
2.1.1.A,Qual a velocidade média operacional (km/h) do sistema de BRT do município em faixas prioritárias no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de BRT do município em faixas prioritárias no horário de pico?,numeric,1,1,1,0,0,Velocidade Média do BRT em faixas prioritárias (pico),Infraestrutura,Ônibus,Ônibus
2.1.1.B,Qual a velocidade média operacional (km/h) nos corredores de ônibus do município no horário de pico?,Qual a velocidade média operacional (km/h) nos corredores de ônibus do município no horário de pico?,numeric,1,1,1,0,0,Velocidade Média do Ônibus nos Corredores (pico),Infraestrutura,Ônibus,Ônibus
2.1.1.C,Qual a velocidade média operacional (km/h) nas faixas exclusivas de ônibus do município no horário de pico?,Qual a velocidade média operacional (km/h) nas faixas exclusivas de ônibus do município no horário de pico?,numeric,1,1,1,0,0,Velocidade Média do Ônibus nas Faixas Exclusivas (pico),Infraestrutura,Ônibus,Ônibus
2.1.1.D,Qual a velocidade média operacional (km/h) do sistema de metrô do município no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de metrô do município no horário de pico?,numeric,1,1,1,0,0,Velocidade Média do Metrô (pico),Infraestrutura,Metrô,Metrô
2.1.1.E,Qual a velocidade média operacional (km/h) do sistema de trem do município no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de trem do município no horário de pico?,numeric,1,1,1,0,0,Velocidade Média do Trem (pico),Infraestrutura,Trem,Trem
2.1.1.F,Qual a velocidade média operacional (km/h) do sistema de VLT do município no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de VLT do município no horário de pico?,numeric,1,1,1,0,0,Velocidade Média do VLT (pico),Infraestrutura,VLT,VLT
2.1.1.G,Qual a velocidade média operacional (km/h) do sistema de monotrilho do município no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de monotrilho do município no horário de pico?,numeric,1,1,1,0,0,Velocidade Média do Monotrilho (pico),Infraestrutura,Monotrilho,Monotrilho
2.1.1.H,Qual a velocidade média operacional (km/h) do sistema de aeromóvel do município no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de aeromóvel do município no horário de pico?,numeric,1,1,1,0,0,Velocidade Média do Aeromóvel (pico),Infraestrutura,Aeromóvel,Aeromóvel
2.1.2,Qual a velocidade média operacional (km/h) do sistema de transporte público coletivo em vias de tráfego misto no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de transporte público coletivo em vias de tráfego misto no horário de pico?,numeric,1,1,1,0,0,Velocidade Média do Transporte Público em Vias Mistas,Infraestrutura,Ônibus,Ônibus
2.2.1,É possível a circulação de táxis nos corredores de ônibus?,É possível a circulação de táxis nos corredores de ônibus?,text,0,1,0,0,0,Táxi no Corredor de Ônibus,Infraestrutura,Táxi,Táxi
2.3.1.A,Qual a idade média da frota do serviço de transporte por ônibus no município? (em anos),Qual a idade média da frota do serviço de transporte por ônibus no município? (em anos),numeric,0,1,1,0,0,Idade Média da Frota de Ônibus,Frota,Ônibus,Ônibus
2.3.1.B,Qual a idade média da frota do serviço de transporte por vans/microônibus no município? (em anos),Qual a idade média da frota do serviço de transporte por vans/microônibus no município? (em anos),numeric,0,1,1,0,0,Idade Média da Frota de Microônibus,Frota,Vans/Microônibus,Microônibus
2.3.1.C,Qual a idade média da frota do serviço de transporte por metrô no município? (em anos),Qual a idade média da frota do serviço de transporte por metrô no município? (em anos),numeric,1,1,1,0,0,Idade Média da Frota de Metrô,Frota,Metrô,Metrô
2.3.1.D,Qual a idade média da frota do serviço de transporte por trem no município? (em anos),Qual a idade média da frota do serviço de transporte por trem no município? (em anos),numeric,1,1,1,0,0,Idade Média da Frota de Trens,Frota,Trem,Trem
2.3.1.E,Qual a idade média da frota do serviço de transporte por VLT no município? (em anos),Qual a idade média da frota do serviço de transporte por VLT no município? (em anos),numeric,0,1,1,0,0,Idade Média da Frota de VLTs,Frota,VLT,VLT
2.3.1.F,Qual a idade média da frota do serviço de transporte por monotrilho no município? (em anos),Qual a idade média da frota do serviço de transporte por monotrilho no município? (em anos),numeric,0,1,1,0,0,Idade Média da Frota de Monotrilho,Frota,Monotrilho,Monotrilho
2.3.1.G,Qual a idade média da frota do serviço de transporte por aeromóvel no município? (em anos),Qual a idade média da frota do serviço de transporte por aeromóvel no município? (em anos),numeric,0,1,1,0,0,Idade Média da Frota de Aeromóvel,Frota,Aeromóvel,Aeromóvel
2.3.1.H,Qual a idade média da frota do serviço de transporte por Táxi no município? (em anos),Qual a idade média da frota do serviço de transporte por Táxi no município? (em anos),numeric,0,1,1,0,0,Idade Média da Frota de Táxis,Frota,Táxi,Táxi
2.4.1.A,Qual o número de terminais rodoviários com informações aos usuários sobre itinerários?,Qual o número de terminais rodoviários com informações aos usuários sobre itinerários?,numeric,0,1,0,0,1,Terminais Rodoviários com Itinerários,Infraestrutura,Ônibus,Ônibus
2.4.1.B,Qual o número de terminais rodoviários com informações aos usuários sobre horários?,Qual o número de terminais rodoviários com informações aos usuários sobre horários?,numeric,0,1,0,0,1,Terminais Rodoviários com Informações sobre Horários,Infraestrutura,Ônibus,Ônibus
2.4.1.C,Qual o número de terminais rodoviários com informações aos usuários sobre tarifas dos serviços?,Qual o número de terminais rodoviários com informações aos usuários sobre tarifas dos serviços?,numeric,0,1,0,0,1,Terminais Rodoviários com Informações sobre Tarifas,Infraestrutura,Ônibus,Ônibus
2.4.1.D,Qual o número de terminais rodoviários com informações aos usuários sobre formas de integração com outros modos de transporte?,Qual o número de terminais rodoviários com informações aos usuários sobre formas de integração com outros modos de transporte?,numeric,0,1,0,0,1,Terminais Rodoviários com Informações sobre Integrações,Infraestrutura,Ônibus,Ônibus
2.4.1.E,Qual o número de estações metroferroviárias com informações aos usuários sobre itinerários?,Qual o número de estações metroferroviárias com informações aos usuários sobre itinerários?,numeric,1,1,0,0,1,Estações Metroviárias com Itinerários,Infraestrutura,Metrô/Trem,Metrô/Trem
2.4.1.F,Qual o número de estações metroferroviárias com informações aos usuários sobre horários?,Qual o número de estações metroferroviárias com informações aos usuários sobre horários?,numeric,1,1,0,0,1,Estações Metroviárias com Informações sobre Horários,Infraestrutura,Metrô/Trem,Metrô/Trem
2.4.1.G,Qual o número de estações metroferroviárias com informações aos usuários sobre tarifas dos serviços?,Qual o número de estações metroferroviárias com informações aos usuários sobre tarifas dos serviços?,numeric,1,1,0,0,1,Estações Metroviárias com Informações sobre Tarifas,Infraestrutura,Metrô/Trem,Metrô/Trem
2.4.1.H,Qual o número de estações metroferroviárias com informações aos usuários sobre formas de integração com outros modos de transporte?,Qual o número de estações metroferroviárias com informações aos usuários sobre formas de integração com outros modos de transporte?,numeric,1,1,0,0,1,Estações Metroviárias com Informações sobre Integrações,Infraestrutura,Metrô/Trem,Metrô/Trem
2.4.2.A,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre itinerários?,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre itinerários?,numeric,1,1,0,0,1,Pontos de Embarque com Itinerários,Infraestrutura,Ônibus,Ônibus
2.4.2.B,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre horários?,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre horários?,numeric,1,1,0,0,1,Pontos de Embarque com Informações sobre Horários,Infraestrutura,Ônibus,Ônibus
2.4.2.C,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre tarifas?,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre tarifas?,numeric,1,1,0,0,1,Pontos de Embarque com Informações sobre Tarifas,Infraestrutura,Ônibus,Ônibus
2.4.2.D,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre modos de interação com outros modos de transporte?,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre modos de interação com outros modos de transporte?,numeric,1,1,0,0,1,Pontos de Embarque com Informações sobre Integrações,Infraestrutura,Ônibus,Ônibus
2.5.1,O município realiza pesquisa de satisfação dos usuários?,O município realiza pesquisa de satisfação dos usuários?,text,0,1,0,0,0,Existe Pesquisa de Satisfação de Usuário,Outros,Governança e Leis,NA
2.5.1.A,Ano de realização da pesquisa:,Ano de realização da pesquisa:,numeric,0,0,0,0,1,Ano da Pesquisa,missing,NA,NA
2.5.1.B,Em qual website é possível obter a pesquisa de satisfação dos usuários em formato digital?,Em qual website é possível obter a pesquisa de satisfação dos usuários em formato digital?,text,0,0,0,0,0,Website Satisfação de Usuário,missing,NA,NA
2.6.1.A,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por ônibus?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por ônibus?,binary,0,1,0,0,0,Existe informação sobre pontualidade e regularidade (Ônibus),Infraestrutura,Ônibus,Ônibus
2.6.1.B,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por vans/microônibus?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por vans/microônibus?,binary,0,1,0,0,0,Existe informação sobre pontualidade e regularidade (Microônibus),Infraestrutura,Vans/Microônibus,Microônibus
2.6.1.C,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por metrô?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por metrô?,binary,0,1,0,0,0,Existe informação sobre pontualidade e regularidade (Metrô),Infraestrutura,Metrô,Metrô
2.6.1.D,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por trem?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por trem?,binary,0,1,0,0,0,Existe informação sobre pontualidade e regularidade (Trem),Infraestrutura,Trem,Trem
2.6.1.E,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por barco?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por barco?,binary,0,1,0,0,0,Existe informação sobre pontualidade e regularidade (Barco),Infraestrutura,Barco,Barco
2.6.1.F,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por VLT?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por VLT?,binary,0,1,0,0,0,Existe informação sobre pontualidade e regularidade (VLT),Infraestrutura,VLT,VLT
2.6.1.G,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por monotrilho?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por monotrilho?,binary,0,1,0,0,0,Existe informação sobre pontualidade e regularidade (Monotrilho),Infraestrutura,Monotrilho,Monotrilho
2.6.1.H,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por aeromóvel?,O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por aeromóvel?,binary,0,1,0,0,0,Existe informação sobre pontualidade e regularidade (Aeromóvel),Infraestrutura,Aeromóvel,Aeromóvel
2.6.2.A,Qual a porcentagem de viagens por ônibus foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por ônibus foram realizadas dentro do horário programado no ano? (%),numeric,1,1,0,0,1,Viagens de Ônibus Realizadas no Horário Programado (%),Infraestrutura,Ônibus,Ônibus
2.6.2.B,Qual a porcentagem de viagens por vans/microônibus foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por vans/microônibus foram realizadas dentro do horário programado no ano? (%),numeric,1,1,0,0,1,Viagens de Microônibus Realizadas no Horário Programado (%),Infraestrutura,Vans/Microônibus,Microônibus
